geneName,logFC,AveExpr,t,P.Value,adj.P.Val,B,group,FC.group
ENSG00000104983,-0.20600340470190773,3.746694272116387,-3.1702478043068276,0.008327141776039477,0.028786985845273963,-3.3321905170830655,TB,down
ENSG00000124635,0.3218067396081045,2.3077648807352262,3.1701989179732504,0.008327887750756971,0.028786985845273963,-3.332280071509921,TB,up
ENSG00000114779,-0.22759711724918616,4.116949181612364,-3.170002225847766,0.008330889830522168,0.028789619817658214,-3.3326403890942338,TB,down
ENSG00000152684,0.28905862100923335,4.871477344537345,3.1694074280906617,0.008339974777752505,0.028813267699912687,-3.333729981905872,TB,up
ENSG00000168118,-0.13098149030764025,4.372619297708195,-3.1691777321813723,0.008343485830808583,0.02881765114150817,-3.3341507515840147,TB,down
ENSG00000188026,-0.3938243540791146,2.9244077687924386,-3.1686583970965003,0.00835142970883557,0.0288373386937009,-3.335102090888295,TB,down
ENSG00000165699,-0.14562204689682776,6.424667854016814,-3.166708239765282,0.008381327997372321,0.028932803497778423,-3.33867437646641,TB,down
ENSG00000245680,-0.18781032937526387,3.806027978986748,-3.1663971079240842,0.00838610800782789,0.028941530643556403,-3.3392442921691528,TB,down
ENSG00000172819,-0.9194928179037682,2.8778092702898763,-3.1651837517201016,0.008404775452518443,0.028998167547856918,-3.341466821270144,TB,down
ENSG00000120798,-0.19116962740295973,4.115402225809259,-3.1650067616235655,0.008407501940922314,0.02899978930347117,-3.3417910128148605,TB,down
ENSG00000182551,0.23056649991560896,4.938590778904072,3.1640911018346505,0.00842162170917679,0.029035754549967367,-3.3434682009928083,TB,up
ENSG00000197608,0.2918007892530771,5.508791863269361,3.16403760930537,0.008422447320438713,0.029035754549967367,-3.3435661807320582,TB,up
ENSG00000197008,-0.3907779151777993,2.453641456394845,-3.1630658898763517,0.008437459198272644,0.029079706520836694,-3.3453460137244684,TB,down
ENSG00000173905,-0.21401477467800098,7.02139523550697,-3.162757462704079,0.008442229662702362,0.029086406125699224,-3.345910931209887,TB,down
ENSG00000088888,-0.12621830447112656,6.445881719786622,-3.1626476081911,0.008443929447166496,0.029086406125699224,-3.3461121406391645,TB,down
ENSG00000171574,-0.5390245272240975,2.4767156945134223,-3.162082486631431,0.008452679059848154,0.029108743643399913,-3.3471472092439387,TB,down
ENSG00000092140,0.15916375298148597,4.117341266584741,3.1617848135776563,0.008457291522283507,0.029116825782048657,-3.347692417882826,TB,up
ENSG00000146247,0.24134653889123378,7.177875754345487,3.1608322763257415,0.00847206821514782,0.0291598877078414,-3.349437031600237,TB,up
ENSG00000022840,0.12944206312915116,7.537953801719545,3.1604710028972085,0.008477679453067098,0.029164084487031297,-3.35009871025679,TB,up
ENSG00000113649,0.1520600737410384,6.573628796903027,3.1604615714084487,0.00847782599156154,0.029164084487031297,-3.35011598412498,TB,up
ENSG00000169136,0.3380003572049397,5.669490271909862,3.1601968216679226,0.008481940491786114,0.02917043061290745,-3.3506008745330593,TB,up
ENSG00000204217,0.24830417746604153,7.141995971579323,3.1596540170152694,0.008490382568815548,0.029191652427613006,-3.3515950150587392,TB,up
ENSG00000156831,-0.18775321857923088,4.22763188796681,-3.1592187449547575,0.008497158346883981,0.029207135350134507,-3.3523922023289527,TB,down
