MDM.1,MDM.2,MDM.3,MDM.4,MDM.5,MDM.6,MDM.7,MDM.8,MDM.9,MDM.10,MDM.11,MDM.12,MDM.13,MDM.14,MDM.15,MDM.16
ENSG00000117000,ENSG00000162396,ENSG00000184371,ENSG00000135828,ENSG00000143643,ENSG00000116016,ENSG00000115107,ENSG00000143947,ENSG00000118855,ENSG00000154767,ENSG00000145975,ENSG00000164366,ENSG00000135390,ENSG00000134531,ENSG00000103174,
ENSG00000198815,ENSG00000162599,ENSG00000134248,ENSG00000135838,ENSG00000179397,ENSG00000180398,ENSG00000177917,ENSG00000197329,ENSG00000171121,ENSG00000154783,ENSG00000198563,ENSG00000150712,ENSG00000127337,ENSG00000139289,ENSG00000140694,
ENSG00000065978,ENSG00000125703,ENSG00000155366,ENSG00000121486,ENSG00000196242,ENSG00000068724,ENSG00000115170,ENSG00000138071,ENSG00000145217,ENSG00000160796,ENSG00000096060,ENSG00000085365,ENSG00000180481,ENSG00000139318,ENSG00000196678,
ENSG00000117394,ENSG00000142856,ENSG00000155380,ENSG00000143850,ENSG00000171853,ENSG00000184261,ENSG00000163249,ENSG00000124380,ENSG00000090316,ENSG00000172113,ENSG00000001167,ENSG00000113658,ENSG00000133111,ENSG00000059758,ENSG00000157429,
ENSG00000142937,ENSG00000203965,ENSG00000118655,ENSG00000266028,ENSG00000115129,ENSG00000162927,ENSG00000135919,ENSG00000114982,ENSG00000035928,ENSG00000213672,ENSG00000146070,ENSG00000204764,ENSG00000179813,ENSG00000111252,ENSG00000185722,
ENSG00000173846,ENSG00000259030,ENSG00000163399,ENSG00000152104,ENSG00000115163,ENSG00000243667,ENSG00000169031,ENSG00000071082,ENSG00000074966,ENSG00000114735,ENSG00000146281,ENSG00000111846,ENSG00000100897,ENSG00000111300,ENSG00000154957,
ENSG00000117450,ENSG00000036549,ENSG00000116815,ENSG00000136636,ENSG00000084774,ENSG00000169599,ENSG00000157014,ENSG00000115604,ENSG00000197894,ENSG00000114779,ENSG00000112249,ENSG00000274750,ENSG00000213906,ENSG00000122035,ENSG00000178502,
ENSG00000159596,ENSG00000142875,ENSG00000065183,ENSG00000143353,ENSG00000163794,ENSG00000124370,ENSG00000206562,ENSG00000115839,ENSG00000109323,ENSG00000168291,ENSG00000196591,ENSG00000273542,ENSG00000205978,ENSG00000102755,ENSG00000091947,
ENSG00000117481,ENSG00000153936,ENSG00000116874,ENSG00000162819,ENSG00000115207,ENSG00000135637,ENSG00000131378,ENSG00000144224,ENSG00000138660,ENSG00000168301,ENSG00000112299,ENSG00000124593,ENSG00000119608,ENSG00000005812,ENSG00000175711,
ENSG00000142961,ENSG00000171492,ENSG00000186141,ENSG00000162923,ENSG00000162959,ENSG00000118640,ENSG00000144635,ENSG00000169554,ENSG00000138735,ENSG00000114541,ENSG00000029363,ENSG00000083123,ENSG00000196405,ENSG00000100505,ENSG00000141449,
ENSG00000123091,ENSG00000189195,ENSG00000264522,ENSG00000135778,ENSG00000143889,ENSG00000114988,ENSG00000163539,ENSG00000135999,ENSG00000170006,ENSG00000206535,ENSG00000197461,ENSG00000013392,ENSG00000022976,ENSG00000073712,ENSG00000178342,
ENSG00000085831,ENSG00000122484,ENSG00000213190,ENSG00000172059,ENSG00000152147,ENSG00000163126,ENSG00000170248,ENSG00000123609,ENSG00000150627,ENSG00000206527,ENSG00000075618,ENSG00000118412,ENSG00000100711,ENSG00000133961,ENSG00000101473,
